,level_0,index,Unnamed: 0,company_name,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,high_paid,is_high_level,ds_in_name,ml_in_name,lab_in_name,analyst_in_name,engineer_in_name,dev_in_name,tech_in_name,rating_cat,expensive_city,analysis,analytics,company,data,experience,health,learning,looking,machine,public,research,scientist,scientists,team,work,analyst_tit,data_tit,developer_tit,engineer_tit,engineering_tit,lead_tit,learning_tit,machine_tit,manager_tit,quantitative_tit,research_tit,science_tit,scientist_tit,senior_tit,software_tit
84,84,1558,6487,Selby Jennings,0.0,"New York, NY",,"A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. If you are interested, please apply below with an...",Quantitative Analyst - Multiple Vacancies,http://www.indeed.com/rc/clk?jk=cdf913c2d8d7ff6c&fccid=e46dcf251ad893cd,yearly,120000.0,0,1-6 days ago,1,34,1,0,0,0,0,1,0,0,0,no_rating,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,85,1559,6488,Workbridge Associates,26.0,"New York, NY",3.5,"Experience with Python, R, Machine Learning with a Data Scientist background. They’re looking to add to a hands-on a Principal Data Scientist (50% hands-on)...",Chief Data Scientist,http://www.indeed.com/rc/clk?jk=217f2c27dc0567d0&fccid=a6920e0a635e5c4e,yearly,125000.0,0,13-18 days ago,1,34,1,1,1,0,0,0,0,0,0,low_rating,1,0,0,0,2,1,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,86,1571,6505,Nathan S. Kline Institute,0.0,"New York, NY",,"Ph.D in biological sciences, neuroscience or related area with at least one year of post-doctoral experience in endocannabinoid area is a must....",Post-Doctoral Scientist (Analytical Psychopharmacology Depar...,http://www.indeed.com/rc/clk?jk=58a337a8ad8bd83c&fccid=8aeed6e91f4acbbe,yearly,25000.0,0,in the last day,0,35,0,0,0,0,0,0,0,0,0,no_rating,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,87,1582,6521,StreetID,0.0,"New York, NY",,"Several hires over the past two years have been from Google and Facebook’s analytics teams as they left to join a smaller firm, where results are in real time...",Quantitative Analyst,http://www.indeed.com/cmp/StreetID/jobs/Quantitative-Analyst-7310f6c4a3e64d86?r=1&fccid=97086f664a784db7,yearly,120000.0,0,more than 30 days ago,1,36,1,0,0,0,0,1,0,0,0,no_rating,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,88,1585,6524,DEPT OF HEALTH/MENTAL HYGIENE,5.0,"New York, NY",4.25,The NYC Department of Health and Mental Hygiene is a recognized worldwide leader in public health. The unit also develops and conducts trainings for BVS staff...,"Quality Assurance Analyst, Bureau of Vital Statistics",http://www.indeed.com/rc/clk?jk=0a69cbb0d5098ff4&fccid=dc0fdb58dd346fd6,yearly,65977.0,0,1-6 days ago,0,36,0,0,0,0,0,1,0,0,0,high_rating,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,1588,6532,Selby Jennings,0.0,"New York, NY",,This highly collaborative Adtech firm is seeking a seasoned Data Science business leader to oversee a team of over 10 Analysts and Scientists....,VP of Data Science & Analytics,http://www.indeed.com/rc/clk?jk=b555f15addd15644&fccid=e46dcf251ad893cd,yearly,175000.0,0,more than 30 days ago,1,37,1,1,1,0,0,0,0,0,0,no_rating,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,90,1632,6596,DEPT OF HEALTH/MENTAL HYGIENE,5.0,"New York, NY",4.25,"Clean, manage, analyze, and interpret data from multiple mental health programs, using SAS, SQL, and/or Tableau....","Data Analyst, Bureau of Mental Health/Research and Evaluatio...",http://www.indeed.com/rc/clk?jk=216e7f542bb30ff3&fccid=dc0fdb58dd346fd6,yearly,79249.5,0,13-18 days ago,1,41,0,0,0,0,0,1,0,0,0,high_rating,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
91,91,1636,6600,Harnham,0.0,"New York, NY",,"Our client is interested in hiring an experienced Data Scientist, essentially with deep expertise in machine learning and predictive modeling, alongside a...","VP, Data Scientist - Banking",http://www.indeed.com/rc/clk?jk=bba8393af2ecc3f9&fccid=d72eb0548d91249c,yearly,180000.0,0,more than 30 days ago,1,41,1,1,1,0,0,0,0,0,0,no_rating,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
92,92,1645,6613,MTK Resources (Contract),0.0,"New York, NY",,Work consists of working on a project that will involve updating and converting spreadsheets*. Someone with a background in Data Analyst who is skilled in Excel...,Market Analyst/ Research Assistant,http://www.indeed.com/company/MTK-Resources-(Contract)/jobs/Market-Analyst-8bd5963d4a3f4337?r=1&fccid=fba247c2a6bb5d4d,hourly,37440.0,0,13-18 days ago,0,42,0,0,0,0,0,1,0,0,0,no_rating,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,93,1652,6625,Selby Jennings,0.0,"New York, NY",,"4+ years relevant and applied experience in risk. Python, R, etc.). SQL and SAS (or equivalent:. An industry-leading FinTech firm in California is adding to...",Statistical Modeler | FinTech,http://www.indeed.com/rc/clk?jk=b1e4c893a85c6318&fccid=e46dcf251ad893cd,yearly,112500.0,0,1-6 days ago,1,43,1,0,0,0,0,0,0,0,0,no_rating,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
